title,labels
launch: program ''does not exist,['*caused-by-extension']
App crashes when trying to search the files or find function references,['needs more info']
Buffer() deprecation warning when installing a vsix through the command line,['*duplicate']
Unable to search Marketplace,['*duplicate']
Bracket insertion plays badly with snippet tabstops (auto-inserted closing bracket is not over-typed),"['bug', 'editor-autoclosing', 'snippets', 'suggest']"
Api for editor insets,"['api-proposal', 'editor-insets', 'feature-request']"
Automatic conversion of Windows to WSL paths on integrated terminal,['*out-of-scope']
"""Intl.DateTimeFormat().resolvedOptions().locale"" returns different values in extension host to VS Code process","['bug', 'confirmed', 'electron', 'extension-host', 'upstream']"
Debug activity bar decoration when debugging,"['debug', 'feature-request']"
Remove ICommandAction#iconClassName,['debt']
Greek characters,['needs more info']
navigation@<number> causes ERR Cannot read property 'title' of undefined,"['bug', 'menus', 'verified']"
Console does not load,"['*duplicate', 'needs more info']"
Intellisense: console.log() autosuggest a function or variable,['needs more info']
Issue Reporter on extensions with alternative issue handler,['*duplicate']
Failed to Execute Git,['needs more info']
"Multiprocessing not working in VS code, computer hangs indefinitely. ",['needs more info']
Starting client failed. Error: listen EACCES permission denied ,['needs more info']
Close the server with ctrl + c ,['*duplicate']
"Separate ""Organize imports"" into ""Sort imports"", ""Merge imports"" and ""Remove unused imports"".",['*extension-candidate']
ui,"['*duplicate', 'needs more info']"
Appear folding button at the wrong place in python editing,['*out-of-scope']
there is a white line on top menu when vscode in 4k resolution,"['confirmed', 'electron', 'titlebar', 'upstream', 'windows']"
Custom view item alignment wrong,"['explorer-custom', 'under-discussion']"
Large Cells in Jupyter Notebook cause view to jump around,['*caused-by-extension']
Jupyter Notebooks don't support ctrl+F,['*caused-by-extension']
contexts change tab not show tab name,['*duplicate']
can't open a folder twice,['*question']
Automatically fix smart quotes and replace with regular quotes,['*extension-candidate']
Failure message from Variables request to debugger extension is not surfaced,"['bug', 'debug', 'help wanted']"
node breakpoints misplaced in source code,"['debug', 'needs more info']"
Trigger suggestion shortcut on Mac not working,"['feature-request', 'mac', 'on-release-notes', 'polish', 'suggest', 'upstream', 'verified']"
Show Fixes hard codes the keyboard shortcut,['*question']
Status bar items get cut off,"['bug', 'verified', 'workbench-status']"
Activity bar’s border vanishes when it is moved to the right,['needs more info']
TreeDataProvider: allow single click and double click to work the same way they do in the file exporer,"['explorer-custom', 'feature-request']"
"""Look up & data detectors"" feature not working on Mac OS with VS code","['editor-core', 'under-discussion']"
Highlight primary cursor differently than other cursors,['feature-request']
search window not resized on split,"['bug', 'editor-find', 'verified']"
"""escape"" clears error messages",['*not-reproducible']
Path is hidden in call stack selected frame,"['bug', 'debug', 'verified']"
Allow use of codicons in custom views,"['*duplicate', 'explorer-custom', 'feature-request', 'icons-product', 'workbench-views']"
"Extension ""Details"" viewport covers status bar when ""This extension is recommended..."" shown",['*duplicate']
theme setting issue,['*duplicate']
Webview cannot be reopened,"['bug', 'important', 'verified', 'webview']"
Borked bracket matching in Rust,['needs more info']
Settings sync history command,['settings-sync']
Settings sync disable and delete data command,['settings-sync']
Notification text overflow,"['bug', 'workbench-notifications']"
Vs Code c++ doesn't work,['needs more info']
VS code cannot download update,['needs more info']
Associated language,['needs more info']
JSON function from IPython.display doesn't work,['*caused-by-extension']
HTML `method ` attribute value's description,"['bug', 'html', 'verified']"
Keyboard input disabled when opening a new editor (macOS),['needs more info']
TypeScript language service died 5 times,"['*not-reproducible', 'javascript', 'typescript']"
Intellisense,['needs more info']
Depreciation of function in JavaScript,['*duplicate']
Black Screen,['needs more info']
Open all closed tags(i.e. <div>) shortcut for huge file (i.e. html ),['needs more info']
Electron crash: async hook stack has become corrupted,"['confirmed', 'electron', 'freeze-slow-crash', 'nodejs', 'upstream-issue-linked']"
Translation files are not recognized,['*caused-by-extension']
Visual Studio Code always add folder to the current workspace,"['*question', 'file-explorer']"
Visual Studio Code (new feature),['*duplicate']
Maximized VS Code is larger than my monitor,['*duplicate']
can't find .csv file,['*question']
Feature Request: File backups,"['feature-request', 'workbench-hot-exit']"
Full Screen at certain resolutions causes bottom bar to overflow.,"['confirmed', 'electron', 'titlebar', 'upstream', 'windows']"
Sometimes search and replace bar have no anti-aliasing,"['chromium', 'confirmation-pending', 'editor-find', 'lcd-text-rendering', 'upstream']"
Notification Toast Background,"['feature-request', 'help wanted', 'themes', 'workbench-notifications']"
"Feature: Double-click on '{', '[', '<' and other delimiters to select all enclosed text","['editor-bracket-matching', 'feature-request']"
Share button / link for extensions,"['extensions', 'feature-request']"
IEM always input in advance,['needs more info']
Random lines rendered in diff views,"['upstream', 'zoom']"
Allow use of codicons in hovers,"['*duplicate', 'editor-hover', 'feature-request', 'icons-product']"
"typescript keyword ""as"" without prompt","['suggest', 'typescript', 'upstream']"
Cannot use right click in editors,['*caused-by-extension']
Add .cjs to known JavaScript file extensions,"['grammar', 'javascript', 'verification-needed', 'verified']"
Quit debug when excuting StepIn continuously,"['bug', 'debug', 'verified']"
"""Freeze"" after searching for symbol","['confirmation-pending', 'needs more info']"
No preview of markdown within block comments in JS/TS code,"['*duplicate', 'grammar', 'markdown']"
Issue with C++ type checking with pointers,['*caused-by-extension']
Code insiders Git commit error,"['bug', 'git', 'verified']"
The newest 'c/c++' extension(Version 0.26.2-insiders2) kills IntelliSence feature by loosing include paths in PlatformIO IDE.,['*caused-by-extension']
JavaScript/TypeScript: No IntelliSense in some contexts like import,"['javascript', 'typescript', 'upstream']"
JS/TS protocol buffer hangs onto a lot of memory if on big request or response is used. ,['debt']
Git should be able to automatically track new files,"['feature-request', 'git']"
Format document does not uncollapse all regions,['needs more info']
Terminal exited with code 1,['needs more info']
Wont build,['needs more info']
error code 127,['needs more info']
VSCode shows 2 breakpoints in same line,['*duplicate']
Add caching to CI workflow,['engineering']
QuickPick is crashing when the items label is undefined,['*duplicate']
Extension Marketplace doesn't load extensions,['needs more info']
VSCode JSDoc @property description doesn't work in IntelliSense,"['javascript', 'suggest', 'upstream-issue-linked']"
总是黑屏,['needs more info']
Group or turn off problems by subproject ,['*extension-candidate']
"""Continue"" action button in CALL STACK doesn't work","['bug', 'debug', 'verified']"
Add support for the CSS property text-underline-offset,"['bug', 'css-less-scss', 'verified']"
Make initial debug / run view extensible,"['debug', 'feature-request']"
Version 1.40.1 issue in win 7.,"['freeze-slow-crash', 'needs more info', 'windows']"
Support to implement debug adapter inside extension,"['api-proposal', 'debug', 'feature-request']"
Synced settings don't respect existing indentation amount or type ,"['bug', 'settings-sync', 'verified']"
Add ability to copy removed code in snippet mode (Click on the left sideline in editor section),['*duplicate']
Git: Synchronize changes stays in a loop,['needs more info']
show clock in zen mode,"['*question', 'workbench-zen']"
glitch in editor's display,['*duplicate']
vscode should warn on bad tslint.json format,"['*caused-by-extension', 'needs more info']"
[insiders] Activating extension 'vscode.search-result' failed,['needs more info']
CallHierarchyProvider#prepare should allow to return multiple symbols,"['api-proposal', 'callhierarchy', 'feature-request']"
Highlight current line should highlight the complete logical line when word wrap is enabled,['*duplicate']
Git does not work unless you open the project from the Git root,['needs more info']
Vertical tab bar,"['feature-request', 'workbench-tabs']"
"E+00000.176: /handling #1 request ""launch"" from Adapter-1/","['*caused-by-extension', 'needs more info']"
php. Issue parsing code. Colorization is broken after solr syntax,"['grammar', 'upstream-issue-linked']"
Theme not working with the latest update on 24th November 2019,['needs more info']
How to debug with two executable command?,['*question']
Commands executed by 'command:' links in hovers no longer receive arguments,"['bug', 'editor-hover', 'regression', 'verified']"
JSON completion adds colon to value,"['bug', 'json', 'verified']"
gup-process has 100% cpu usage,['needs more info']
The color of this area and the left and right sides are not coordinated. Please refer to VisualStudio2017 for improvement!,['*caused-by-extension']
Breakpoints reordering randomly,"['bug', 'debug', 'verified']"
自带的git功能,['*english-please']
Lost all unstaged work!!,['needs more info']
Can't launch the Extension Development Host,['*duplicate']
Can't launch the Extension Development Host,['*question']
Extract to constant is not multicursor aware.,"['*out-of-scope', 'editor-code-actions', 'javascript']"
Window maximizes non properly after exiting from zen mode,['*duplicate']
native es-Module IntelliSense import does not import correct path.,"['javascript', 'upstream-issue-linked']"
VSCode TreeDataProvider does not reload icons with same URI after they change on disk and a refresh call is made.,"['bug', 'explorer-custom']"
Trusted Domains link protection parses IP addresses as having subdomains,"['bug', 'workbench-link']"
MS build not recognised,['*caused-by-extension']
Q# (python.vs code) new console >python file,"['*caused-by-extension', 'needs more info']"
vscode does not load any extensions,['needs more info']
Visual Studio crashes by Clicking on Help->About,"['linux', 'needs more info', 'upstream']"
CTRL N opens a new file and its not editable,['needs more info']
VsCode seems very slow on start,"['*duplicate', 'perf-startup']"
Insider build always starts language server with debug options,"['bug', 'candidate', 'extension-host', 'verified']"
"Can't install any of plugins from store. It's always showing notification on bottom-right side ""Failed to install""",['needs more info']
"keyboard dont work, if you drag file and split in second screen, keyboard dont work on second screen",['needs more info']
Intellisense not working,['needs more info']
File count on problems view title doesn't match filtered problem count,"['*duplicate', 'error-list']"
multi cursor + ctrl,['needs more info']
Auto Preview for Markdown File,"['*duplicate', 'markdown']"
shortcut for play button of top right corner - python,['*caused-by-extension']
File Save Polkit pkexec Sudo Error using --file-write: EACCES: permission denied,"['needs more info', 'upstream']"
Please replace jschardet with a different library,"['file-guess-encoding', 'under-discussion']"
"Allow trailing commas in jsconfig.json, too","['feature-request', 'typescript']"
"Compiler path with spaces and arguments is missing double quotes "" around path.",['*caused-by-extension']
OUTPUT PROBLEM,['*caused-by-extension']
Absolute paths in Go test output not clickable links in the output panel,"['feature-request', 'output']"
"Moving line down breaks ""else"" block indentation (moved from Go repo)","['editor-autoindent', 'under-discussion']"
IBM blockchain platform issue ,['*question']
Encoding problems,['needs more info']
"vscode.d.ts missing ""interval"" TextEditorLineNumbersStyle","['api', 'feature-request']"
"Move some menu items into a ""New tab"" page",['needs more info']
Launch.json shared configurations,"['*duplicate', 'debug', 'feature-request']"
Improve Monokai theme for markdown files,['themes']
Markdown rendering in Monokai has flaws,"['editor-theming', 'feature-request', 'verified']"
VSCode hangs after pressing F11 key,['needs more info']
MarkdownString in CompletionItem.documentation is very slow to render images with large SVG data URL,"['freeze-slow-crash', 'help wanted', 'markdown']"
"client area goes blank, no further action will be displayed there",['needs more info']
Add parent path to git clone command,['git']
Allow passing parent directory to `git.clone` command,"['feature-request', 'git', 'verification-found', 'verification-needed']"
Cannot use Font Ligatures When fira code's Stylistic sets are enabled for all language,['editor-rendering']
Cannot navigate with tab in settings if option is selected,"['accessibility', 'bug', 'settings-editor', 'verified']"
Open Folder doesn't work,['needs more info']
Support to create a new file/folder using an inline action,"['feature-request', 'file-explorer']"
wrong order of next/prev buttons at touchbar,"['bug', 'workbench-touchbar']"
Dark theme editor background issue,"['gpu', 'linux', 'upstream']"
Panel size is not remembered correctly when panel is moved to the right,"['bug', 'layout']"
IBM blockchain issue,['*caused-by-extension']
拓展 插件无法下载安装,['*english-please']
After uninstalling the VSCode and installing the new version the old option still exists,['needs more info']
command update,['*as-designed']
Copy Paste Doesnt work,"['*duplicate', 'editor-clipboard', 'needs more info']"
VS Code activates menu on every swich keyboard layout via Alt+Shift on Linux after 1.40 release,['*duplicate']
Variable bebug hovers don't work after optional chaining,"['bug', 'debug']"
Menus shouldn't ever start with a separator,"['bug', 'menus', 'verified']"
SCSS recommendation dosen't work.,['needs more info']
Multi-select in the Explorer: Delete deselected folder instead of selected ones,"['file-explorer', 'under-discussion']"
"Rename symbol on variable ""r"" in python3 causes raw string identifier to be changed as well.",['*caused-by-extension']
Weird state where settings UI shows active theme but settings.json shows a different theme,['*duplicate']
Explorer .gitignore integration considers git repo outside of workspace folder,"['bug', 'file-decorations', 'git']"
"At debug pausing, ""this"" in A.constructor() shows undefined when target=ES6 and A extends B and A.constructor() has lambda function.",['needs more info']
API to get a list of selected files in the Explorer,"['feature-request', 'file-explorer']"
Don't hide breakpoint dot in gutter,"['*duplicate', 'bug', 'debug']"
Toggle devloper error,['*caused-by-extension']
Unit tests for the code lenses,['*out-of-scope']
MacOS Terminal: Cursoredover characters in low DPI display very small,['*duplicate']
Change Start Debugging Extension Host on Running Extensions to not require a restart,"['extensions-development', 'feature-request', 'help wanted']"
Settings key representation in visual settings editor,"['*duplicate', 'needs more info']"
Disable overview ruler entirely,"['editor-rendering', 'feature-request']"
Find in Files doesn't look in non-workspace files that haven't been opened,['*duplicate']
Incomplete png generated from puml,['*extension-candidate']
User Markdown Styling Conflicts with Markdown-Language-Features in Confusing Ways,"['*as-designed', 'markdown']"
Emmet suggestions not working in HTML,['needs more info']
"[html] can't ""rename symbol"" within <script> tags","['feature-request', 'html']"
Default light theme has dark color side bar,['*as-designed']
"Settings sync replaces ""1"" badge from update","['*duplicate', 'settings-sync']"
sync.settings is not a registered configuration,['settings-sync']
"""View: Toggle Panel"" key bind does not move focus to Debug Console","['*duplicate', 'debug']"
`alt+shift` toggles `window.menuBarVisibility` even when the menu bar is disabled,"['confirmed', 'electron', 'electron-6.0.x-update', 'linux', 'menus', 'upstream-issue-linked']"
Make global activity multi activity aware,"['feature-request', 'on-testplan', 'settings-sync']"
Go to definition is broken in VS Code Insiders,['*as-designed']
macOS Catalina: Cannot connect to the Extensions Marketplace (Error querying extensions gallery connect ENOENT),['needs more info']
Intergrated powershell terminal first line not showing,['*duplicate']
Compound tasks are ignoring endsPattern of dependent tasks,['*duplicate']
"Duplicate files in search, file open when accessed via absolute path",['*duplicate']
Faster Intellisense for c#,['*caused-by-extension']
Open Editors with custom fixed size.,['*duplicate']
Bring back beetle to Debug icon,"['debug', 'icons-product']"
Workspace files are being saved one folder above,"['bug', 'simple-file-dialog', 'verified']"
Minimap#createSampleData is eager (and slowish?),"['editor-minimap', 'perf-startup', 'verification-needed', 'verified']"
Menus created before opening window,"['menus', 'perf-startup']"
Terminal Word Unwrap,['*duplicate']
Toggle sidebar doesn't work when focus on terminal,['*question']
打字莫名卡顿，等几秒才显示,['*english-please']
Flutter Refactor Shortcut abilities,['*caused-by-extension']
"""Restart (Ctrl + Shift + F5)"" Button Does Not Work","['debug', 'needs more info']"
C++ syntax highlighting broken by line break before array square bracket,"['bug', 'grammar']"
Allow json edit to support inserting in array at a given index,"['feature-request', 'json']"
ctrl+click or F12 or ALT+F12 is not working,['needs more info']
TypeError: 'builtin_function_or_method' object is not subscriptable,['*caused-by-extension']
Proxy works partially with extensions marketplace,"['needs more info', 'proxy']"
Smoke Test: debug smoke tests failed,"['debug', 'smoke-test']"
Smoke test: verifies that 'Go To Definition' works,"['debt', 'engineering']"
UX to show replace/insert behaviour for extensions,"['suggest', 'under-discussion', 'ux']"
We are not getting the no of references above the terraform resource,['*caused-by-extension']
Option to widen the command palette,"['feature-request', 'quick-pick']"
"Plugins, Auto Updates, Git File Status",['needs more info']
Folders not showing in the Explorer,"['file-explorer', 'needs more info']"
"Minikube upgrade available to v1.2.0, currently on v1.4.0",['*caused-by-extension']
Optional chaining supports,['*question']
Processes still exists after quitting VSCode ,['needs more info']
Can't find the definition of Vue method and property after press F12,['*caused-by-extension']
Open files that are in files.watcherExclude no longer update when contents change on disk,"['bug', 'file-watcher']"
IntelliSense can't active HTML DOM Style Object in JavaScript,['*question']
Webview inside diff editor doesn't gain focus,"['bug', 'webview']"
Portable Mode: Support auto update on Windows,"['feature-request', 'portable-mode']"
Sometimes search does not work,['needs more info']
Quick switch fonts for every edit pages.,['*question']
the font is bad,['needs more info']
No code suggestions when filling C++ extension snippets blanks,['*caused-by-extension']
Use the status bar when Settings Sync is syncing?,"['settings-sync', 'ux']"
workbench.action.navigate[] not working with Python interactive,['*caused-by-extension']
Allow terminal to be dragged to side panes of editor,['*duplicate']
"""Find in Folder"" does not correctly fill includes filter when folder name contains [](){}",['*duplicate']
Firefox crashes when I click on a link in VSCode. ,"['confirmed', 'linux', 'upstream']"
VS Code gets into bad state after debugging extension with tasks 0.1.0,"['bug', 'debug', 'tasks', 'verified']"
Dropdown in e.g. Output or Terminal don't respond correctly to touch,"['dropdown', 'touch/pointer', 'under-discussion']"
Maximizing then restoring with devtools open causes devtools to go missing,"['bug', 'confirmed', 'titlebar', 'windows']"
Can't resize from some places on the top bar,"['bug', 'menus', 'needs more info']"
Occluded windows just went blank,"['bug', 'candidate', 'confirmed', 'electron-6.0.x-update', 'upstream', 'verified', 'windows']"
RegEx,"['*as-designed', 'editor-find']"
Insiders: Explorer same-level file/folder indentation mismatch in Seti icon theme,"['bug', 'icons-product', 'tree', 'verified']"
Support installing multiple updates (or latest update),['*duplicate']
"Search panel should show one result per line, not per occurance",['*duplicate']
Freeze on file delete,"['confirmed', 'electron', 'file-io', 'linux', 'upstream-issue-linked']"
Settings sync temporary files with warnings/errors show up in problems panel,"['bug', 'settings-sync']"
Activity bar icon  size,['*duplicate']
Port 9229 in use by VS Code,"['bug', 'candidate', 'extension-host', 'verified']"
"Botão ""Reiniciar (Ctrl + Shift + F5)"" não funciona",['*english-please']
[Markdown] relative link updating when files moved,['*extension-candidate']
"Pause reason is not shown for multi session debugging, or vscode-pwa","['debug', 'under-discussion']"
opening vs code does not load bash ,['needs more info']
Recent files picker doesn't work well,['*duplicate']
Debugger mouseover value showing over comments,"['*duplicate', 'debug']"
Selecting multiple lines and pressing Ctrl+H should autopopulate the Find box,"['editor-find', 'polish']"
"When staging changes on Source Control, all closed Git repositories are opened again",['needs more info']
Launcher[1] disconnected unexpectedly,['*caused-by-extension']
MS build is not recognise,['needs more info']
Auto import creates duplicate text in react components,['*duplicate']
Display Jupyter Notebook output text and images in order,['*caused-by-extension']
Maximized window with custom title bar places 1px on second monitor (regression),"['confirmed', 'electron', 'electron-6.0.x-update', 'upstream', 'windows']"
Better control over Automated Maximize on large 4K screens,"['feature-request', 'workbench-editor-grid']"
Cursor jump and scroll when switching between splits -- and highlights intervening code,['needs more info']
Maximize windows button,['needs more info']
"[html] ""Expand selection"" misses { } in <script> tag","['feature-request', 'html', 'verification-needed', 'verified']"
Allow debuggers to add simple toggle checkboxes similar to Breakpoint options,"['debug', 'feature-request']"
Snippet generates a link,['needs more info']
Save Workspace As... function doesn't save .code-workspace extension anymore.,['*duplicate']
Focus switches back to editor from terminal when format document,"['bug', 'formatting']"
Editor icons (SVG): alignment and rendering issues,"['icons-product', 'lcd-text-rendering']"
Ability to select language mode in command palette itself,"['feature-request', 'quick-pick']"
"Add a way to ""close""/""disable"" folder temporarily without removing it from workspace (Eclipse style)",['feature-request']
[MacOS Catalina] VS Code stealing focus,['needs more info']
Strange selection/copy behaviour in Debug Console,"['*duplicate', 'debug']"
delete key does not work,['needs more info']
Debugging should handle identical sources in sourceReference better,['debug']
Add appRoot to windows protocol handler for dev,['engineering']
sql (server names) intellisense is not working,['*caused-by-extension']
intelisense not working for local vars and imports[JS/TS/py],['*question']
Have single setting to configure sync enablement,"['invalid', 'settings-sync']"
"Unexpected ""Search"" title behind search fields when Search: Location is Panel","['bug', 'layout', 'search', 'verified']"
Terminal turns black,['needs more info']
Infinite DateTime Tree When debuging simple program.,['*caused-by-extension']
Code sends updated breakpoint locations to DA for unsaved file if a new breakpoint is added,"['debug', 'feature-request']"
Constant is already declared in an unrelated folder,['*as-designed']
Sometimes does not initialize the exception breakpoint.,"['debug', 'needs more info']"
every time showing Extension host terminated unexpectedly.,['needs more info']
I cannot type anything in the file from visual studio code,['needs more info']
"smoke test: ""verifies that 'Go To Definition' works"" fails","['bug', 'smoke-test', 'verified']"
Lazy is a guarantee for slowness,['debt']
Crash on Terminal Server,['needs more info']
ctrl+f - 'Find' rendering problem,['*duplicate']
Python textMate grammar: 'in' in the control flow 'for ... in ...' syntax is sometimes recognized as a logical operator,"['grammar', 'upstream-issue-linked']"
Default Theme is Stuck,['*duplicate']
Smarty Template Engine ,['*extension-candidate']
Ability to scroll above first line (over the top),"['editor-rendering', 'feature-request']"
Erase informartion everytime I save it,['*caused-by-extension']
support syntax highlighting for @example + code fence at the same time,['*extension-candidate']
Skip and jump to breakpoint,"['debug', 'feature-request']"
Add functions similar to excel,['*extension-candidate']
Java try-catch color display problem,"['grammar', 'upstream']"
Pseudoterminal misses synchronous output in CustomExecution-based Task,"['bug', 'integrated-terminal', 'tasks']"
Visual Studio Code Screen Width,['*duplicate']
"""Change all occurrences"" is missing from context menus","['rename', 'under-discussion']"
Web: Safari and Mobile Safari support,"['ios', 'web']"
Web: Safari support,"['safari', 'web']"
Web: Firefox support,"['firefox', 'web']"
execvp(3) failed.: No such file or directory when trying to build/debug using tasks,['*caused-by-extension']
Cursor goes missing when pressing up in vi running in vscode terminal,['*duplicate']
"Black does not support the ""Format Selection"" command",['needs more info']
"Source control always expands all tree nodes, won't remember collapse in same session",['*duplicate']
Edge of window not rendering when maximized with custom title bar,"['electron-6.0.x-update', 'upstream-issue-fixed', 'windows']"
/usr/bin/bash: g++: command not found      The terminal process terminated with exit code: 127,['*question']
Make parameter hints use correct monospace fonts,"['bug', 'editor-parameter-hints']"
Powershell Else formatting,['*caused-by-extension']
Inline breakpoint is not centered vertically when using large font size,['*duplicate']
Reveal in Side Bar from OPEN EDITORS view,"['feature-request', 'file-explorer']"
Allow to keep preview for Git modified files even if enablePreview is false,"['feature-request', 'git', 'workbench-editors']"
Whitespace is auto trimmed despite being disabled,['needs more info']
Go to File (Ctrl+P) search by keywords where order does not matter,['*duplicate']
Javascript/Typescript Language Service Crashes During Git Diff,"['*not-reproducible', 'javascript']"
Add a(n easily findable?) way to disable the popup that shows 'find definition' (Peek Definition?),['*question']
Random freeze in Ubuntu 19.04,"['freeze-slow-crash', 'linux', 'needs more info', 'snap']"
Debugging EH opens large.ts with Mankala contents and loads mock debug,"['bug', 'debug', 'verified']"
Dragging extension viewlet sash resizes textbox,['*duplicate']
Debug Session Timed out while using virtual env. with  python,['*caused-by-extension']
"""Automatically update imports"" edits other file, but should also save it","['feature-request', 'javascript', 'typescript']"
Test: Allow to edit the left hand side of a diff editor if possible,['testplan-item']
Test: Allow Ctrl+S to save a dirty file of a peek editor when it has focus,['testplan-item']
The variable X is assigned but never used.PSScriptAnalyzer(PSUseDeclaredVarsMoreThanAssignments),['*caused-by-extension']
Allow smaller font zoom delta,"['feature-request', 'workbench-window']"
Custom view died (requiring restart),"['bug', 'explorer-custom']"
Can't do ctrl+arrow left/rigth to do whole string selection when the Language Mode is Markdown,['needs more info']
Select all occurrences and cursor position while wrapping is on,['*duplicate']
Typescript in VSC reports error status not in sync with Typescript in project,"['*question', 'typescript']"
'Peek Definition' missing from context menu,"['editor-symbols', 'under-discussion']"
UX: Start Settings Sync ,"['feature-request', 'settings-sync', 'ux']"
Allow debuggers to support StepBack without ReverseContinue,"['debug', 'feature-request']"
python venv debugger session timed out,['*caused-by-extension']
[php] Syntax highlighting of SQL query strings missing when concatenated,"['grammar', 'upstream-issue-linked']"
Specify location of extension storage in setting file,['*duplicate']
Use exponential backoff for failed settings sync requests,"['feature-request', 'settings-sync']"
Settings sync server query strategy,"['feature-request', 'on-testplan', 'settings-sync']"
Do not sync extensions when gallery is not enabled,['settings-sync']
Ability to ignore settings to sync from UI,"['feature-request', 'settings-editor', 'settings-sync', 'ux']"
http proxy setting isn't getting used,['needs more info']
Variable Substitution in launch.json not visible in debug configuration provider,"['debug', 'feature-request']"
"Wrong label in Source Control: File's conext menu entry ""Reveal in Explorer"" has to be renamed to ""Reveal in Sidebar""","['bug', 'git', 'verified']"
Git FS: needs to emit events when file is gone,"['bug', 'verified', 'workbench-history']"
VS Code hangs the Computer Performance,['needs more info']
Convert ignoredRepos to use URI.fsPath,['git']
Black screen when switch windows,['*duplicate']
WEB: can not open any files in vscode,['*as-designed']
Unsigned Mac install,['*duplicate']
File browser tree view,"['*question', 'file-explorer']"
LCD: greyscale rendering in editor hover,"['editor-hover', 'lcd-text-rendering']"
Wrong highlighting in PHP in JS in HTML attributes in PHP file ,['grammar']
git.autofetch on AC power only,"['feature-request', 'git']"
Tree: Compression doesn't work when tree nodes are hidden,"['bug', 'tree', 'verified']"
TypeScript and JavaScript Language Features vscode.typescript-language-features,['*english-please']
FS: Can't open image from custom FileSystemProvider,"['bug', 'verified', 'webview']"
Hide cells content in ipython notebook view,['*caused-by-extension']
Explorer: Drag to root feedback is broken,"['bug', 'file-explorer', 'verified']"
Suddenly syntax highlight in JSDoc examples is missing,"['*as-designed', '*extension-candidate', 'javascript', 'typescript']"
Zen mode eats first Escape key pressed in terminal,"['bug', 'integrated-terminal', 'verified', 'workbench-zen']"
Generic parameter suggestion prompt exception!,"['needs more info', 'typescript', 'upstream-issue-linked']"
"F12 followed by navigate back, messes up focus","['*duplicate', 'electron-6.0.x-update', 'menus']"
Tables in markdown preview not rendered correctly,"['*not-reproducible', 'markdown']"
Inconsistent icon theme colors,"['bug', 'extensions', 'icons-product']"
"Inconsistent key binding for Go Back command (workbench.action.navigateBack) between VS on Linux, VS on Windows, VS 2019 on Windows",['*as-designed']
Editors - close all with 2 dirty of same resource no longer closes all editors,"['bug', 'verified', 'workbench-editors']"
the window has crased for windows os,['needs more info']
Extension search is broken,"['bug', 'extensions', 'verified']"
"Cannot activate the 'Jira and Bitbucket (Official)' extension because it depends on the 'Git' extension, which is not loaded. Would you like to reload the window to load the extension?",['*caused-by-extension']
script and style tags loses or incorrect auto-indent on .html file,['needs more info']
Cannot navigate to exact error line while running a Python file,"['*duplicate', 'output']"
Telemetry collects geolocation data!,['needs more info']
"Release Notes: 1.40.1 page, always go to top position after naviagte back",['*duplicate']
the limitation of reading compilation database,['*caused-by-extension']
Allow grouping StatusBarItem,"['api', 'feature-request', 'workbench-status']"
Enable Views to move between sidebar and panel,"['feature-request', 'layout']"
Unable to select range of text in editor,['editor-ime']
Debugger icons are not vertically aligned,"['bug', 'debug', 'icons-product', 'ux', 'verified']"
Settings search input focus covers clear all icon,"['bug', 'settings-editor', 'verified']"
CodeAction.disabled,"['api-proposal', 'editor-code-actions']"
Add filter to git hook (dev qol),['git']
```git.ignoredRepositories``` does not support case insensitive file systems,"['bug', 'git', 'good first issue', 'help wanted', 'verified']"
Can we have a dashboard in VS code where I can group all the Apps / Search the Apps,['*extension-candidate']
Add support for full font configuration like CSS' font-variation-settings,"['feature-request', 'font-rendering']"
Terminal Command Line Is Blurry,"['*out-of-scope', 'integrated-terminal', 'needs more info']"
Web: double tap doesn't pin editor or create new files,"['bug', 'titlebar', 'touch/pointer', 'verified', 'web']"
Debug console twisties no longer(?) change cursor type to pointer on hover,"['bug', 'debug-console', 'icons-product', 'tree', 'verified']"
matplotlib inline showing error,['*question']
Web: Comment View should listen to Gesture.Change event to scroll itself,"['bug', 'touch/pointer', 'web']"
Breakpoint decoration isn't visible for the line I am paused on,"['bug', 'debug', 'verified']"
Open Recent window is really tall,"['bug', 'quick-pick', 'verified']"
Breakpoints,['*caused-by-extension']
"Test: Save, Save As, Revert, Dirty indicators, Auto Save",['testplan-item']
Test: LCD rendering,['testplan-item']
Implementations misspelled as Implemenations in settings,"['editor-symbols', 'good first issue', 'help wanted', 'polish']"
SCSS for loop syntax showing as an error,"['bug', 'css-less-scss']"
Delete key does not work,['needs more info']
Mac: Delete button removes selected breakpoint,['debug']
The last update of VSCode doesn´t work any more (OS: Win7).,['needs more info']
PHP return type declaration not highlighted on anonymous function,"['grammar', 'upstream-issue-fixed']"
Go to next error or warning filtering,"['editor-error-widget', 'feature-request']"
Stylelint doesn't work in .ts file,['*caused-by-extension']
"[UI] [Integrated Terminal] Add a ""Clear Terminal"" button/icon next to ""Kill Terminal""",['*as-designed']
[Feature Request] Git most used actions in Explorer,['*extension-candidate']
Menu can be lost,"['bug', 'menus', 'web']"
Flip/swap editor groups,"['feature-request', 'workbench-editor-grid']"
Activity Bar context menu lacks option for showing menu,"['menus', 'polish', 'web']"
Compact menu not appearing,['*duplicate']
The contents of the file are suddenly overwritten with the contents of other files.,['needs more info']
Explorer icon disappears,['needs more info']
