textid: 0   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', 'debug', '*duplicate']
textid: 277   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'needs-more-info', 'feature-request']

textid: 278   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'needs-more-info', 'feature-request']

textid: 279   predict_label: ['*caused-by-extension', '*duplicate', 'bug', 'needs-more-info', 'feature-request']

textid: 280   predict_label: ['*caused-by-extension', '*duplicate', 'bug', 'needs-more-info', 'feature-request']

textid: 281   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*question']

textid: 282   predict_label: ['needs-more-info', '*duplicate', 'bug', '*question', 'feature-request']

textid: 283   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 284   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*question']

textid: 285   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 286   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', 'feature-request']

textid: 287   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 288   predict_label: ['*caused-by-extension', '*duplicate', 'bug', 'debug', 'needs-more-info']

textid: 289   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 290   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', '*question']

textid: 291   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 292   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 293   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 294   predict_label: ['bug', '*caused-by-extension', 'needs-more-info', '*duplicate', 'debug']

textid: 295   predict_label: ['bug', 'feature-request', 'needs-more-info', '*duplicate', '*caused-by-extension']

textid: 296   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 297   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 298   predict_label: ['needs-more-info', '*duplicate', 'bug', '*as-designed', '*caused-by-extension']

textid: 299   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 300   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 301   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 302   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 303   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 304   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 305   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*question']

textid: 306   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', '*question', 'bug']

textid: 307   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 308   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', '*question']

textid: 309   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 310   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*as-designed']

textid: 311   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request', 'bug']

textid: 312   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', 'feature-request', '*duplicate']

textid: 313   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 314   predict_label: ['needs-more-info', 'bug', '*caused-by-extension', '*duplicate', '*question']

textid: 315   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 316   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 317   predict_label: ['needs-more-info', '*duplicate', '*question', '*caused-by-extension', 'bug']

textid: 318   predict_label: ['needs-more-info', 'bug', '*caused-by-extension', '*duplicate', 'feature-request']

textid: 319   predict_label: ['feature-request', 'bug', '*duplicate', 'debug', 'needs-more-info']

textid: 320   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 321   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request', 'bug']

textid: 322   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 323   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 324   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 325   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 326   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 327   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 328   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', 'testplan-item']

textid: 329   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 330   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 331   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 332   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 333   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 334   predict_label: ['needs-more-info', 'bug', '*question', '*duplicate', '*caused-by-extension']

textid: 335   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 336   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 337   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 338   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 339   predict_label: ['bug', '*as-designed', 'needs-more-info', '*duplicate', 'feature-request']

textid: 340   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 341   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', 'feature-request']

textid: 342   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 343   predict_label: ['needs-more-info', 'bug', '*caused-by-extension', '*duplicate', 'feature-request']

textid: 344   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', '*question', 'bug']

textid: 345   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 346   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 347   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 348   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 349   predict_label: ['*duplicate', 'needs-more-info', 'feature-request', 'bug', '*caused-by-extension']

textid: 350   predict_label: ['bug', '*duplicate', 'needs-more-info', 'debug', '*caused-by-extension']

textid: 351   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 352   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', 'feature-request']

textid: 353   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 354   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 355   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 356   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 357   predict_label: ['*duplicate', 'feature-request', 'needs-more-info', 'bug', '*caused-by-extension']

textid: 358   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 359   predict_label: ['bug', 'debug', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 360   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 361   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 362   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 363   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 364   predict_label: ['needs-more-info', 'bug', '*question', '*caused-by-extension', '*duplicate']

textid: 365   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 366   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 367   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', '*question']

textid: 368   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 369   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 370   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', '*question']

textid: 371   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 372   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*as-designed']

textid: 373   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 374   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', '*question']

textid: 375   predict_label: ['needs-more-info', 'bug', 'feature-request', '*duplicate', '*as-designed']

textid: 376   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 377   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 378   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 379   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 380   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', '*question', 'bug']

textid: 381   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 382   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 383   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 384   predict_label: ['needs-more-info', '*duplicate', 'bug', '*question', '*caused-by-extension']

textid: 385   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'debug']

textid: 386   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 387   predict_label: ['bug', 'needs-more-info', '*duplicate', '*question', '*caused-by-extension']

textid: 388   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 389   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 390   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 391   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 392   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 393   predict_label: ['needs-more-info', '*duplicate', 'bug', '*question', '*caused-by-extension']

textid: 394   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 395   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*as-designed']

textid: 396   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 397   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 398   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 399   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 400   predict_label: ['*duplicate', 'bug', '*caused-by-extension', 'feature-request', '*question']

textid: 401   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 402   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 403   predict_label: ['*caused-by-extension', 'bug', '*duplicate', 'needs-more-info', 'feature-request']

textid: 404   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 405   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 406   predict_label: ['needs-more-info', '*duplicate', 'feature-request', 'bug', '*caused-by-extension']

textid: 407   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 408   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*as-designed']

textid: 409   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 410   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*question', '*caused-by-extension']

textid: 411   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 412   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', '*question']

textid: 413   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 414   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', 'feature-request']

textid: 415   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 416   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 417   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 418   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 419   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*question', 'feature-request']

textid: 420   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 421   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 422   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', '*question', '*as-designed']

textid: 423   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*as-designed']

textid: 424   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'extensions']

textid: 425   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 426   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 427   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 428   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', 'bug', 'feature-request']

textid: 429   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 430   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*question']

textid: 431   predict_label: ['needs-more-info', '*duplicate', 'bug', '*question', '*caused-by-extension']

textid: 432   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 433   predict_label: ['feature-request', '*duplicate', 'needs-more-info', '*caused-by-extension', 'bug']

textid: 434   predict_label: ['feature-request', '*duplicate', 'bug', 'debug', 'needs-more-info']

textid: 435   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', 'api']

textid: 436   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 437   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*extension-candidate']

textid: 438   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 439   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 440   predict_label: ['*duplicate', 'needs-more-info', 'feature-request', 'bug', '*caused-by-extension']

textid: 441   predict_label: ['bug', '*duplicate', 'needs-more-info', '*question', '*caused-by-extension']

textid: 442   predict_label: ['feature-request', 'bug', '*duplicate', '*caused-by-extension', 'needs-more-info']

textid: 443   predict_label: ['feature-request', 'bug', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 444   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request', '*question']

textid: 445   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 446   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 447   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 448   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 449   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 450   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 451   predict_label: ['feature-request', '*duplicate', '*caused-by-extension', 'bug', 'needs-more-info']

textid: 452   predict_label: ['*duplicate', 'feature-request', 'bug', '*out-of-scope', 'api']

textid: 453   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 454   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', 'testplan-item']

textid: 455   predict_label: ['*duplicate', 'needs-more-info', 'feature-request', 'bug', '*question']

textid: 456   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 457   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 458   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 459   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 460   predict_label: ['feature-request', 'needs-more-info', 'bug', '*duplicate', '*caused-by-extension']

textid: 461   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 462   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 463   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 464   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 465   predict_label: ['feature-request', 'bug', '*duplicate', 'needs-more-info', 'debug']

textid: 466   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 467   predict_label: ['bug', '*duplicate', 'feature-request', '*as-designed', 'needs-more-info']

textid: 468   predict_label: ['*caused-by-extension', '*duplicate', 'bug', 'feature-request', 'debug']

textid: 469   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 470   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 471   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 472   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 473   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 474   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 475   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 476   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 477   predict_label: ['feature-request', '*duplicate', 'bug', '*caused-by-extension', 'needs-more-info']

textid: 478   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 479   predict_label: ['feature-request', 'bug', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 480   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 481   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*question']

textid: 482   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 483   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 484   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 485   predict_label: ['feature-request', '*duplicate', 'bug', '*caused-by-extension', 'needs-more-info']

textid: 486   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*extension-candidate']

textid: 487   predict_label: ['feature-request', 'needs-more-info', '*duplicate', '*caused-by-extension', 'bug']

textid: 488   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 489   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 490   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 491   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 492   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 493   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 494   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 495   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 496   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 497   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 498   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 499   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 500   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 501   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 502   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 503   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 504   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 505   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 506   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'feature-request', 'needs-more-info']

textid: 507   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 508   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 509   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 510   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 511   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 512   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'needs-more-info', '*question']

textid: 513   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 514   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*question']

textid: 515   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 516   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*as-designed']

textid: 517   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*as-designed']

textid: 518   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*as-designed', '*caused-by-extension']

textid: 519   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*question', 'feature-request']

textid: 520   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 521   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request', 'bug']

textid: 522   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', 'testplan-item']

textid: 523   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 524   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 525   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 526   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 527   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 528   predict_label: ['bug', '*duplicate', 'needs-more-info', '*as-designed', 'feature-request']

textid: 529   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 530   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 531   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 532   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*question']

textid: 533   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 534   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*as-designed']

textid: 535   predict_label: ['bug', '*duplicate', '*as-designed', 'feature-request', '*caused-by-extension']

textid: 536   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', '*question']

textid: 537   predict_label: ['bug', '*duplicate', 'needs-more-info', '*as-designed', '*caused-by-extension']

textid: 538   predict_label: ['*duplicate', 'needs-more-info', 'feature-request', 'bug', '*caused-by-extension']

textid: 539   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 540   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 541   predict_label: ['bug', 'feature-request', 'needs-more-info', '*duplicate', '*caused-by-extension']

textid: 542   predict_label: ['bug', '*caused-by-extension', 'needs-more-info', '*duplicate', 'feature-request']

textid: 543   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 544   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*question']

textid: 545   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 546   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 547   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 548   predict_label: ['bug', '*caused-by-extension', 'needs-more-info', '*duplicate', '*extension-candidate']

textid: 549   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 550   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 551   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 552   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*as-designed']

textid: 553   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

